objeto_id,mean_b1,clase
1,0.14057182830753664,fincas
2,0.13013703585350275,fincas
3,0.13264731851889647,fincas
4,0.13064475280426613,fincas
5,0.13360837199570158,fincas
6,0.13204126586625864,fincas
7,0.13231839033165158,fincas
8,0.13296571002250143,fincas
9,0.13916019825994036,fincas
10,0.13340112591783207,lotes
11,0.1499484348297119,lotes
12,0.1509565391961266,lotes
13,0.13114747288434403,lotes
14,0.1305270486205589,lotes
15,0.12988541508563842,lotes
16,0.1298415956588892,lotes
17,0.12899554102388147,lotes
18,0.12980014808250195,lotes
19,0.12882144098550502,lotes
20,0.13258667519459358,lotes
21,0.12949165177469885,lotes
22,0.1312375986805329,lotes
23,0.130041002785718,lotes
24,0.13099218023246562,lotes
25,0.13047384716453353,lotes
26,0.13397278554463465,lotes
27,0.13156973718339382,lotes
28,0.13485118775231064,lotes
29,0.13209048731297982,lotes
30,0.1307339117433248,lotes
31,0.13311962314366085,lotes
32,0.1345003729588107,lotes
33,0.13179862226049105,lotes
34,0.1306428313951626,lotes
35,0.12995214838730662,lotes
36,0.130114094379845,lotes
37,0.12934871945116255,lotes
38,0.12954222779164368,lotes
39,0.12909447476267816,lotes
40,0.1294663412606015,lotes
41,0.13013089986311066,lotes
42,0.13514449843956577,lotes
43,0.12904261198698305,lotes
44,0.12950802594423294,lotes
45,0.128088401556015,lotes
46,0.12853226977497784,lotes
47,0.14045773262486738,lotes
48,0.12858874624288535,lotes
49,0.1368303098925599,lotes
50,0.1298495398759842,lotes
51,0.1293389003874728,lotes
52,0.1307251285422932,lotes
53,0.12921463070731415,lotes
54,0.12900559646987367,lotes
55,0.1318322288023459,lotes
56,0.13047370091937055,lotes
57,0.13067461110296705,lotes
58,0.13267676734498568,lotes
59,0.13044902869948635,lotes
60,0.14288839776264994,lotes
61,0.13036481639132996,lotes
62,0.13233299795538186,lotes
63,0.12974844437784852,lotes
64,0.12984356061591731,lotes
65,0.1303661076499404,lotes
66,0.13304179976694286,lotes
67,0.13256790830124576,lotes
68,0.1364519629119472,lotes
69,0.130266545860617,lotes
70,0.12985618976610047,lotes
71,0.13017429813851406,lotes
72,0.14587194776535034,lotes
73,0.1297329098121277,lotes
74,0.13847891283485125,lotes
75,0.1331754686982043,lotes
76,0.12896131432574728,lotes
77,0.13152903071300467,lotes
78,0.14016756441282188,lotes
79,0.12914619136315125,lotes
80,0.12939236474533874,lotes
81,0.1300757558181368,lotes
82,0.12974853234158623,lotes
83,0.12973780407194505,lotes
84,0.13611055659130217,lotes
85,0.13311695934910522,lotes
86,0.1395398454695213,lotes
87,0.13440713834959073,lotes
88,0.15126211112626245,lotes
89,0.1369499576745657,lotes
90,0.13033147278474644,lotes
91,0.13034166916022225,lotes
92,0.13065867828872968,lotes
93,0.14058007354583216,lotes
94,0.1371229478904793,lotes
95,0.14947718850992345,lotes
96,0.13366844398634775,lotes
97,0.14427827586336892,lotes
98,0.14089532375169508,rio
99,0.14462004137291462,urbanos
100,0.14456819401604584,urbanos
