objeto_id,clase,b1_mean,b1_median,b1_std,b1_min,b1_max,b1_p25,b1_p75,b1_skew,b1_kurt,b1_mad,b1_entropy,b2_mean,b2_median,b2_std,b2_min,b2_max,b2_p25,b2_p75,b2_skew,b2_kurt,b2_mad,b2_entropy,b3_mean,b3_median,b3_std,b3_min,b3_max,b3_p25,b3_p75,b3_skew,b3_kurt,b3_mad,b3_entropy,b4_mean,b4_median,b4_std,b4_min,b4_max,b4_p25,b4_p75,b4_skew,b4_kurt,b4_mad,b4_entropy,b5_mean,b5_median,b5_std,b5_min,b5_max,b5_p25,b5_p75,b5_skew,b5_kurt,b5_mad,b5_entropy,b6_mean,b6_median,b6_std,b6_min,b6_max,b6_p25,b6_p75,b6_skew,b6_kurt,b6_mad,b6_entropy,b7_mean,b7_median,b7_std,b7_min,b7_max,b7_p25,b7_p75,b7_skew,b7_kurt,b7_mad,b7_entropy,glcm_contrast,glcm_homogeneity,glcm_asm,glcm_entropy,var_nugget,var_sill,var_range,geom_area,geom_perimeter,geom_circularity,geom_convexity,geom_elongation,geom_shape_index,top_neighbors,top_proximity
1,fincas,0.14057182830753664,0.13919422030448914,0.00935706994194376,0.12851294875144958,0.15309451520442963,0.13110166788101196,0.15077592805027962,0.07580832939055654,-1.8051131493611539,0.009094275534152985,3.4004709749801574,0.12299688580223751,0.1219060942530632,0.013363651465372313,0.1052820235490799,0.1415015608072281,0.10961530916392803,0.13764099404215813,0.11762949537732738,-1.785849879127884,0.013337522745132446,3.326727264882086,0.1153840216699288,0.11086464673280716,0.014664916212243317,0.09339643269777298,0.13826003670692444,0.10204612649977207,0.13139431178569794,0.21754025163132373,-1.6840960545096384,0.01136784628033638,3.435590267447514,0.10752594003898239,0.09777474030852318,0.034308996418656944,0.06188160553574562,0.15748408436775208,0.07559055835008621,0.1459248922765255,0.1731465478637695,-1.757462357053328,0.027305349707603455,3.2845152583942747,0.29447027280699783,0.28442129492759705,0.04784500407856118,0.20518401265144348,0.4230414927005768,0.25394195318222046,0.33250391483306885,0.3947437666072468,-0.8211770035204671,0.03636585921049118,3.463126944037638,0.21445552562245257,0.2025502771139145,0.06627437143490937,0.13292503356933594,0.32025814056396484,0.14914953336119652,0.2882087007164955,0.19908749403927203,-1.7153794373713394,0.057390742003917694,3.417844272942072,0.1273678820769345,0.11993641778826714,0.06441867449642458,0.047902531921863556,0.21889296174049377,0.06379500776529312,0.1998940333724022,0.1284283962360568,-1.780350592004134,0.060542233288288116,3.3182145617950294,0.9293478260869565,0.7854539641943734,0.15439010072069945,3.644796606142756,0.0006237570290962239,0.020809327745395796,753.9872033000021,353010.56303795875,2383.383145911105,0.780925918503597,1.0,0.6567927500774987,1.0028593366471625,0.0,164.53992725758584
2,fincas,0.13013703585350275,0.12986359000205994,0.0023484388011434584,0.12236756086349487,0.1434824913740158,0.1290081888437271,0.13103413581848145,0.7744245974267608,4.053304777367417,0.0009679496288299561,2.645389655427824,0.1078465626662613,0.10744304209947586,0.0031493027867472317,0.09789855033159256,0.12464112788438797,0.106452576816082,0.10923263058066368,0.5528423824343829,3.5700388935996807,0.001305609941482544,2.6931166110694265,0.09687047604566966,0.09697561711072922,0.004377692867955726,0.08054288476705551,0.11910352855920792,0.09438689798116684,0.09949680417776108,-0.043900693375226646,1.8554618112603922,0.002566210925579071,2.855862895214673,0.06793358137040396,0.06678891181945801,0.006619371287400391,0.04956831410527229,0.09807863086462021,0.06377249211072922,0.0705706924200058,0.7439382480593426,1.6076645027820948,0.0032640397548675537,2.990418153248828,0.3392763046797185,0.34616783261299133,0.04372740822580912,0.05190941318869591,0.4672973155975342,0.31911011040210724,0.3653131127357483,-1.4079384359795624,6.003065042700365,0.022690683603286743,2.674219839044049,0.1400269190480991,0.1396106779575348,0.015470182365436439,0.01334877498447895,0.2102038860321045,0.13380293548107147,0.14607121050357819,-1.2690902857572026,13.89803783112048,0.006032839417457581,2.1549611186146254,0.05816404965581463,0.055376045405864716,0.011159932615788178,0.008981720544397831,0.11993641406297684,0.0515042245388031,0.06359241157770157,1.1642970385619325,3.95027437410928,0.005042370408773422,2.5435642907324922,0.40071026931044684,0.8425309905873248,0.20703269615851472,2.9700305869720287,0.00042882512299285015,0.0064915399523808245,2974.396114118538,1578167.6778532853,5950.1650237850645,0.5601508340242498,1.0,0.6684368023858356,1.1841110862285713,0.0,289.1718738639354
3,fincas,0.13264731851889647,0.13220468163490295,0.0027930710731106406,0.12844541668891907,0.1693921834230423,0.13050513714551926,0.13418562710285187,2.595862163985857,19.51414366659154,0.0018233507871627808,1.9738707049757018,0.11090642116652806,0.11045946180820465,0.0036676262019449068,0.10507942736148834,0.16428227722644806,0.10801706090569496,0.11277805268764496,2.6689081127956977,22.704091220976785,0.002408631145954132,1.8771484555369533,0.10177962576477949,0.10141020268201828,0.004562590048630685,0.09096528589725494,0.14638635516166687,0.09870892763137817,0.10411147028207779,1.5164590372188738,7.653416441926778,0.0027012676000595093,2.3729435966179224,0.07297896877612556,0.07266417890787125,0.008395501011759572,0.05929289013147354,0.14956034719944,0.06658632308244705,0.07727885246276855,1.5546689052722296,6.328382608658616,0.005335010588169098,2.453918574219239,0.354727164559644,0.3608672618865967,0.04736737494439447,0.08412206918001175,0.46065670251846313,0.321653813123703,0.39107646048069,-0.4548059065822832,0.0017016162268808088,0.03293299674987793,2.989365069276509,0.151648341861385,0.14409027993679047,0.02245276432613542,0.05420549586415291,0.29288527369499207,0.1356375515460968,0.16245891898870468,1.6589676266401248,4.005994664102528,0.011480405926704407,2.2681464245144793,0.06544347069639098,0.06314220279455185,0.016422228753239995,0.043625518679618835,0.19246552884578705,0.052821094170212746,0.07187630981206894,1.6719030920965399,5.02999155206966,0.009747087955474854,2.561413736689398,0.4372160264353573,0.8237711689384551,0.13451368490051852,3.450293930116778,0.0010002572729208247,0.0020872170268311885,913.5564635560461,2259926.5621012705,8491.191109085305,0.3938827483658585,0.746671185310827,0.5020407129246186,1.412087019681462,0.0,266.73385278497244
4,fincas,0.13064475280426613,0.12959346175193787,0.0028225784533042328,0.12749996781349182,0.1483898013830185,0.1289856731891632,0.13107915222644806,2.383506200156489,6.853429660328475,0.0007653534412384033,2.446041500539815,0.10894491018281373,0.10772442072629929,0.0034931512190980825,0.10465172678232193,0.13573884963989258,0.1068352535367012,0.10964907705783844,2.625828432834642,9.166426442152078,0.0010917633771896362,2.308731628679922,0.10035732348598585,0.09981194883584976,0.0034563794519303667,0.09028997272253036,0.1251588761806488,0.09823621064424515,0.1018829271197319,1.615672851335823,6.251446047719945,0.00175582617521286,2.5268533716305788,0.07115434379586962,0.06977156922221184,0.006466145185030581,0.061093736439943314,0.11579446494579315,0.06652441807091236,0.07453256100416183,2.024501755990269,7.536901129631971,0.003793034702539444,2.6861488133176534,0.3334278232192735,0.3392120599746704,0.038443300958686276,0.05611889436841011,0.39814478158950806,0.3151257336139679,0.3589257225394249,-1.756644495075898,7.565513032723688,0.02149762213230133,2.698057418162776,0.1382292234714263,0.135828897356987,0.014106097217682698,0.012043161317706108,0.20766018331050873,0.12999865412712097,0.1442478597164154,-0.8339607625404172,15.261706319309354,0.006663136184215546,1.9474243330958698,0.058409679648001304,0.05506089702248573,0.013007700151627692,0.006775682792067528,0.13819250464439392,0.05004103481769562,0.0627482607960701,1.796459606555474,5.806079410019025,0.005852751433849335,2.4198285908663193,0.427814156532585,0.8434087198958163,0.1866032743893469,3.109150076067917,1.670098407823416e-07,0.005026240522393384,2344.5079635125526,1498418.4077516953,5043.223881379266,0.7403319078605051,0.9762541506295106,0.9363617512621586,1.029986913650608,0.0,278.11938387611724
5,fincas,0.13360837199570158,0.1304938793182373,0.0058622352914831765,0.12619435787200928,0.14627380669116974,0.1289631575345993,0.1396106705069542,0.7038328339248101,-1.1328734707771746,0.0023185908794403076,3.4446465138587685,0.11289432568817723,0.10964907705783844,0.00740366516287709,0.10291840881109238,0.12984107434749603,0.106452576816082,0.11986888200044632,0.6466661824051607,-1.129719075717144,0.003894329071044922,3.4589926380479414,0.10352972699639365,0.1037738099694252,0.006753877909986436,0.0900198444724083,0.1190585047006607,0.09735829383134842,0.10926640033721924,-0.10816104527279734,-0.9972454125293773,0.00598781555891037,3.755175300129898,0.08002020886405967,0.07583817094564438,0.014950858415065854,0.05897774174809456,0.11478149145841599,0.0661923848092556,0.09210207313299179,0.555342755620693,-0.9693901126648186,0.011120229959487915,3.6704193981065933,0.3051886072604408,0.3295775353908539,0.07269890056085276,0.16277407109737396,0.4341842532157898,0.23968149721622467,0.360068142414093,-0.47670831586711526,-0.9997601557260909,0.04175713658332825,3.6406109579137915,0.1515079902687083,0.15433259308338165,0.01976705945215741,0.1109997108578682,0.2673807740211487,0.13721328973770142,0.1636519804596901,0.6962194407085558,3.8128935099563055,0.011030197143554688,2.8776803201141545,0.07604381354439656,0.06773436069488525,0.026250335546525734,0.04029395058751106,0.14021845161914825,0.05347390100359917,0.1014777347445488,0.5023493013501908,-1.1138171781185124,0.019786808639764786,3.6695708888771548,0.6159052453468697,0.8144719816860755,0.08962952147093282,4.134143572311222,4.9188624181426764e-05,0.007013785841783483,528.7126007780698,835683.6834446756,3811.6822550420243,0.7228004363965631,0.9999999999999999,0.5527562303135234,1.042403204122771,0.0,253.50978997008028
6,fincas,0.13204126586625864,0.1308765560388565,0.004085672992362915,0.12558656930923462,0.15046077966690063,0.12959346175193787,0.1324297934770584,1.8940277110590285,3.175699470937686,0.0013956576585769653,2.8792139932726095,0.11132262825965882,0.11009928584098816,0.005039426899333595,0.101860411465168,0.1365942507982254,0.10820840299129486,0.11265424266457558,1.6088380207799848,2.532758224423616,0.00225105881690979,2.8636043934271624,0.10378167968529921,0.10402143001556396,0.006261262614418903,0.08767874538898468,0.12795019149780273,0.09874269738793373,0.1087486520409584,-0.04448808626927706,-0.5353432744617206,0.005019858479499817,3.2753473076249415,0.07839746248754827,0.07721132040023804,0.011129409143188324,0.05843748524785042,0.12191735208034515,0.06978282332420349,0.08357055857777596,0.9197280695132268,0.6467852231465296,0.006955772638320923,3.34165391033599,0.31125497631319277,0.3212035894393921,0.044784275592340876,0.1594875156879425,0.3918418288230896,0.2960817813873291,0.34096789360046387,-1.487164151317193,2.115153720236168,0.021880298852920532,3.30960829858234,0.15643827258885562,0.15241919457912445,0.023538738489558335,0.10850103944540024,0.2509705722332001,0.14029724150896072,0.16655584424734116,0.9983173683604836,1.1496827499044775,0.013101160526275635,3.2935119564339423,0.07384769141674041,0.06726163625717163,0.02571707489199823,0.03959612175822258,0.17727088928222656,0.05897774174809456,0.07886584475636482,1.9539444813618911,3.5575330801665555,0.009454447776079178,2.988708978058832,0.562358276643991,0.8009090815813504,0.10552550120577331,3.8052156073876073,0.0016708589429764462,0.002942907214553546,1180.3351033530814,2043140.3334138615,6265.757193052523,0.6539746868381789,0.938669611627194,0.5319590428620053,1.0958837102083923,0.0,280.34517889185196
7,fincas,0.13231839033165158,0.13130426406860352,0.003414989875209237,0.1273874193429947,0.1540849804878235,0.12979605793952942,0.1337691769003868,1.7572196087709588,5.031040011076804,0.0017558187246322632,2.7056788884478102,0.11159648267160352,0.11041443794965744,0.004640925115969095,0.10559716820716858,0.14429287612438202,0.10841099172830582,0.11330704763531685,2.286371421223508,9.178816338173975,0.0021610185503959656,2.5974526373090576,0.1028481438333261,0.10163530707359314,0.005887133813349409,0.09364404529333115,0.15482783317565918,0.09940675646066666,0.10487683117389679,3.7755360088568177,25.16420494344071,0.0026337355375289917,2.231610179451215,0.07630445487779647,0.07372217625379562,0.010760546056490988,0.0614313930273056,0.13871024549007416,0.06897243857383728,0.0799238421022892,1.6793008934941493,4.372416123223603,0.005380034446716309,2.8856036975494184,0.3101204477479554,0.32266679406166077,0.06268538898405533,0.06863478571176529,0.43819114565849304,0.25801636278629303,0.359831765294075,-0.4704085032341841,-0.2857414854116245,0.04682201147079468,3.3349406966092534,0.15449352431646052,0.15023566782474518,0.02257545016692381,0.012088182382285595,0.23411013185977936,0.14117515832185745,0.16259398311376572,-0.26219227647689913,6.958906605668572,0.010062232613563538,2.423442096146448,0.07491595064296473,0.07142609357833862,0.02263239241820764,0.00709083117544651,0.16196368634700775,0.056906767189502716,0.08606923371553421,0.8887188509099123,0.7301101488671486,0.014564350247383118,2.9883696026844744,0.5154388524191588,0.8052659429928062,0.08560029991542711,4.020426826924627,0.0015679625327940229,0.003970862948887351,526.1593827149231,1905276.7152560842,5524.217598885215,0.7845603747219716,0.9517043270823539,0.9196399119495243,1.0005337799134006,0.0,329.3566615879248
8,fincas,0.13296571002250143,0.13058392703533173,0.006888943089523111,0.12563160061836243,0.16032041609287262,0.12880559265613556,0.13461332023143768,2.2899567582550673,5.43710412202914,0.0022060424089431763,2.9287926093402064,0.11346047856389446,0.11054950207471848,0.009998205465802169,0.10327857732772827,0.1549178659915924,0.10753308236598969,0.11506850086152554,2.5361916312749884,6.794588818022584,0.0034441202878952026,2.8475089092494303,0.10716275632056771,0.10548461973667145,0.01273954415916769,0.0911678820848465,0.1628866195678711,0.09961498156189919,0.10928328149020672,2.662616162020733,7.9289168849168306,0.004817269742488861,2.7773689657727383,0.08486391184676598,0.08016020804643631,0.026894501943041015,0.059540506452322006,0.20162734389305115,0.06949581392109394,0.08762809447944164,2.8952549302961104,8.723082676284564,0.009105533361434937,2.643094236543263,0.3198171838625403,0.326628640294075,0.04830144283251563,0.15241919457912445,0.42945700883865356,0.3004657179117203,0.35190802812576294,-0.8377847701091845,0.5596165877851118,0.025819644331932068,3.3582195671930197,0.16966876130100483,0.15600963681936264,0.05902120235661375,0.11932863295078278,0.4308076500892639,0.1401565484702587,0.1739843487739563,3.221211904152278,10.124510426780502,0.01683792471885681,2.391422198520173,0.08275306624081195,0.07350832596421242,0.04553125836912785,0.04202726483345032,0.27568718791007996,0.057289447635412216,0.08511253446340561,2.9051946776182374,8.488591848940667,0.014181671664118767,2.5839449205718443,0.2591155934833204,0.9245386475888918,0.3068950264546762,2.3265795523131767,3.5181051499534384e-33,0.02236703089018107,2450.068603994495,2394148.4572269055,7840.429938819781,0.4894194043001773,0.7894242213618576,0.7248777632344825,1.2667891897841197,0.0,367.07910206626343
9,fincas,0.13916019825994036,0.13717952370643616,0.007529660902225011,0.12698222696781158,0.15734902024269104,0.13362285494804382,0.14431539177894592,0.585308444898926,-0.6318336293679541,0.004547148942947388,3.8082520709692247,0.12116213076866714,0.11743774265050888,0.011167930973041076,0.10523699969053268,0.15088847279548645,0.11311570554971695,0.1280514895915985,0.8445784798838063,-0.27200718740130947,0.0057176873087882996,3.6744994731251426,0.11146054008196397,0.10595734417438507,0.014904244893478002,0.09096528589725494,0.15845203399658203,0.10234439000487328,0.11755029484629631,1.2917071776463573,0.7525152986912982,0.0047497376799583435,3.329382551308322,0.10073790529230298,0.0869584009051323,0.031715662597926374,0.0625569224357605,0.19669753313064575,0.07978877797722816,0.1117875836789608,1.2849671363230957,0.6178186732240176,0.012268275022506714,3.384404852242649,0.2584931744625104,0.25612547993659973,0.05626038466439525,0.1442028284072876,0.4154554307460785,0.22157172858715057,0.3058401197195053,-0.06299945480305653,-0.8771900460519082,0.0438956618309021,3.645821913730476,0.1863097007709328,0.15444515645503998,0.0758772168894261,0.11192264407873154,0.4360526204109192,0.14196302741765976,0.1799158826470375,1.7513544660418812,1.829434167592491,0.016140088438987732,2.819861126050852,0.111355218706315,0.09112286567687988,0.05711020044324589,0.041982244700193405,0.2739538848400116,0.07640093564987183,0.11861954629421234,1.4341007417213947,0.9060519516578878,0.017918430268764496,3.2829367053795,0.49734349734349736,0.8539412715883303,0.219645921309123,3.1404153410271114,0.006858752125971727,0.011971238720796015,3559.2074367933233,2018189.3718220254,6644.034619224394,0.574523774942609,0.9159959899668836,0.6557791259982063,1.1692057378964589,0.0,320.25923542267617
10,lotes,0.13340112591783207,0.13282372802495956,0.0023458758864670515,0.13067397475242615,0.14733180403709412,0.13235100731253624,0.13359472155570984,3.7718004354791974,18.62180945321334,0.000652804970741272,2.327857357888546,0.11231207984189193,0.11150620132684708,0.002783921742850995,0.10904128849506378,0.12612682580947876,0.11114602908492088,0.11232220754027367,2.9262144671609893,10.04017879602293,0.0006978288292884827,2.4316373423507427,0.10104402912159761,0.10030718147754669,0.0034114028167275164,0.09758339822292328,0.11662735790014267,0.09937299229204655,0.10168033093214035,3.104427563626952,10.347107705734793,0.0010917671024799347,2.532435007765147,0.07806822061538696,0.07674985378980637,0.00574126460565144,0.06849972158670425,0.1037738099694252,0.07575938478112221,0.07817364297807217,2.842810541212328,8.845179371467363,0.001046743243932724,2.164911366544531,0.3245633030931155,0.32638102769851685,0.012966426653257038,0.2847364544868469,0.3582560420036316,0.31738804280757904,0.33250391483306885,-0.3588977541480024,0.738190080195773,0.008497744798660278,3.264362331671819,0.15446128298838932,0.1493915244936943,0.01448181839165313,0.13866522908210754,0.22296738624572754,0.14761881902813911,0.15712953731417656,2.613722334950663,8.005123498357802,0.00373675674200058,2.651447070946508,0.0702698023368915,0.06493179127573967,0.014394154214128136,0.05918033421039581,0.13184452056884766,0.06361492164433002,0.0692650768905878,2.7934482846687265,7.969026524117982,0.002194780856370926,2.327782420024953,2.282828282828283,0.6574681633505163,0.18788899091929395,3.0655254760072532,0.0002156034855407056,0.0011146745209442367,501.6681587685828,55281.821116280335,1006.783829495751,0.685361559879744,1.0,0.5214620675877771,1.0704960509128123,0.0,224.78088783474152
